Level,Angle,Score,State,Pigs,
5,1.1857267479788964,34580,PLAYING,592.0,311.5,598.0,320.5,596.0,332.5,591.5,355.0,595.5,375.0,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,nan,PLAYING,PigEmpty,
5,nan,205250,WON,PigEmpty,
